No,ID_SPKLU,Nama_SPKLU,Tagging_SPKLU,Jenis_Lokasi,UP3,Kota_Kab,Latitude,Longitude,Jml_Transaksi,Energi_kWh,Pendapatan_Rp
1,2038,SPKLU DAYA+ PLN UP3 BEKASI,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BEKASI,KOTA BEKASI,-6.252847,107.010401,5564,129897.15,346064859
2,1682,SPKLU CENTER UCI BENY KM38B TOL JAGORAWI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,BOGOR,KOTA BOGOR,-6.575403,106.838482,3890,93424.49,241978003
3,2078,SPKLU UCI BENY GARDENS SWG,Hijau (Utilisasi Tinggi >50 trx),Perumahan / Township,DEPOK,KOTA DEPOK,-6.3789,106.7457,2962,70853.12,181767193
4,1562,SPKLU BSPACE GRAND DEPOK CITY,Hijau (Utilisasi Tinggi >50 trx),Perumahan / Township,DEPOK,KOTA DEPOK,-6.432733,106.82615,2346,56529.21,145023978
5,309,SPKLU REST AREA (TRAVOY) KM 88 A RUAS CIPULARANG,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,PURWAKARTA,KAB. PURWAKARTA,-6.601573,107.427145,2192,50637.49,128658443
6,2058,SPKLU DAYA+ PLN UP3 BOGOR,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BOGOR,KOTA BOGOR,-6.572129,106.808797,1625,47191.93,122233523
7,1826,SPKLU UCI BENY Q SQUARE LIFESTYLE PARK,Hijau (Utilisasi Tinggi >50 trx),Mall / Retail / Supermarket,BOGOR,KAB. BOGOR,-6.526736,106.832144,1908,45310.82,117359994
8,2188,SPKLU (ARISTA POWER) BYD ARISTA SENTUL,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,GUNUNG PUTRI,KAB. BOGOR,-6.567082,106.850909,1796,43470.77,112595374
9,1988,SPKLU CSE PLN UP3 BANDUNG,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BANDUNG,KOTA BANDUNG,-6.948859,107.611765,1606,43413.79,115660422
10,302,SPKLU REST AREA KM 57 A RUAS JAKARTA - CIKAMPEK,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,KARAWANG,KAB. KARAWANG,-6.367146,107.360867,1811,41264.46,105861762
11,2054,SPKLU DAYA+ CENTER UP3 BANDUNG,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BANDUNG,KOTA BANDUNG,-6.948859,107.611765,1528,39845.05,106153056
12,313,SPKLU PLN ICON HUB (BRAGA HERITAGE),Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BANDUNG,KOTA BANDUNG,-6.920082,107.609372,1470,37334.88,99463566
13,979,SPKLU ONE STOP CHARGING STATION SURAPATI,Hijau (Utilisasi Tinggi >50 trx),Publik / Pemerintah / Transportasi,BANDUNG,KOTA BANDUNG,-6.898728,107.621305,1463,36935.94,98402523
14,2039,SPKLU DAYA+ PLN ULP BEKASI KOTA 120kW,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BEKASI,KOTA BEKASI,-6.239109,106.993489,1512,35427.55,94383885
15,2142,SPKLU DHAF COFFEE & CAR WASH,Hijau (Utilisasi Tinggi >50 trx),F&B / Kafe / Leisure Retail,BEKASI,KOTA BEKASI,-6.258485,106.987473,1456,34638.12,92279982
16,310,SPKLU REST AREA (TRAVOY) KM 88 B RUAS CIPULARANG,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,PURWAKARTA,KAB. PURWAKARTA,-6.60421,107.42353,1622,34405.62,87417272
17,2035,SPKLU DAYA+ ULP Bogor Kota,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BOGOR,KOTA BOGOR,-6.596175,106.790009,1392,32677.89,84640516
18,1855,SPKLU (ARISTA POWER) BYD ARISTA BOGOR,Hijau (Utilisasi Tinggi >50 trx),Dealer / Showroom Mobil,BOGOR,KOTA BOGOR,-6.575953,106.807518,1249,32059.48,83036501
19,2072,SPKLU DAYA+ ULP Bandung Utara,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,BANDUNG,KAB. BANDUNG,-6.878957,107.597197,1137,31927.07,83483043
20,545,SPKLU CENTER REST AREA KM 166 A RUAS TOL CIPALI,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,SUMEDANG,KAB. MAJALENGKA,-6.712876,108.242674,1176,31515.55,77742314
21,1989,SPKLU CSE PLN UP3 Cirebon,Hijau (Utilisasi Tinggi >50 trx),Kantor / Unit Layanan PLN,CIREBON,KOTA CIREBON,-6.71115,108.540256,1104,31455.39,81472135
22,303,SPKLU REST AREA KM 62 B RUAS JAKARTA - CIKAMPEK,Hijau (Utilisasi Tinggi >50 trx),Rest Area Tol,KARAWANG,KAB. KARAWANG,-6.388654,107.394985,1444,30922.1,79328518
