h3,pop,kab
86642c94fffffff,3788.0,17
86642c967ffffff,236.0,17
86642c96fffffff,24975.0,17
86642c977ffffff,1.0,17
86642ca37ffffff,1.0,17
86642cb17ffffff,1.0,17
86642cb1fffffff,2.0,17
86642cbafffffff,8.0,17
86650822fffffff,3.0,6
866508247ffffff,136.0,499
86650824fffffff,8520.0,499
866508257ffffff,5.0,6
86650825fffffff,4459.0,6
866508267ffffff,589.0,499
86650826fffffff,3474.0,499
8665082c7ffffff,8.0,6
8665082cfffffff,954.0,6
8665082efffffff,607.0,6
866508367ffffff,302.0,499
86650836fffffff,574.0,499
866508967ffffff,953.0,509
86650896fffffff,19175.0,509
866508a07ffffff,10.0,499
866508a0fffffff,838.0,499
866508a1fffffff,1130.0,499
866508a27ffffff,4308.0,485
866508a2fffffff,13463.0,499
866508a37ffffff,583.0,485
866508a47ffffff,34590.0,499
866508a4fffffff,12082.0,499
866508a57ffffff,16768.0,499
866508a5fffffff,41960.0,499
866508a67ffffff,22049.0,499
866508a6fffffff,15951.0,499
866508a77ffffff,14454.0,499
866508ac7ffffff,1642.0,499
866508acfffffff,1769.0,499
866508ae7ffffff,4293.0,499
866508aefffffff,7844.0,499
866508af7ffffff,3.0,499
866508b07ffffff,37647.0,490
866508b0fffffff,22842.0,485
866508b1fffffff,852.0,485
866508b27ffffff,10985.0,485
866508b2fffffff,141116.0,490
866508b47ffffff,23584.0,485
866508b4fffffff,40601.0,499
866508b57ffffff,11349.0,485
866508b5fffffff,25540.0,499
866508b67ffffff,47507.0,485
866508b6fffffff,53446.0,485
866508b77ffffff,38769.0,485
86650901fffffff,2.0,13
866509027ffffff,2.0,13
86650902fffffff,5.0,13
866509037ffffff,2.0,13
866509047ffffff,1.0,13
86650904fffffff,2.0,13
866509057ffffff,13.0,13
86650905fffffff,3.0,13
866509067ffffff,3.0,13
86650906fffffff,234.0,13
866509077ffffff,1.0,13
866509087ffffff,3.0,6
86650908fffffff,279.0,13
866509097ffffff,2.0,6
8665090a7ffffff,1.0,6
8665090b7ffffff,16.0,6
8665090c7ffffff,2162.0,13
8665090cfffffff,304.0,13
8665090d7ffffff,6.0,13
8665090dfffffff,396.0,13
8665090e7ffffff,1.0,13
8665090efffffff,16.0,13
8665090f7ffffff,12.0,13
866509117ffffff,2.0,13
866509127ffffff,1.0,13
86650914fffffff,4.0,13
866509157ffffff,1.0,13
86650916fffffff,300.0,13
866509177ffffff,1.0,13
866509187ffffff,2.0,6
86650918fffffff,5.0,6
866509197ffffff,2690.0,6
86650919fffffff,4.0,6
8665091afffffff,3.0,6
8665091b7ffffff,4.0,6
866509207ffffff,11625.0,13
86650920fffffff,1262.0,13
866509217ffffff,2012.0,13
86650921fffffff,1397.0,13
866509227ffffff,6787.0,13
86650922fffffff,350.0,13
866509237ffffff,27695.0,13
866509247ffffff,3.0,13
86650924fffffff,7.0,13
866509257ffffff,736.0,13
86650925fffffff,1310.0,13
866509267ffffff,3.0,13
86650926fffffff,6.0,1
866509277ffffff,16.0,13
86650928fffffff,4.0,7
86650929fffffff,1.0,7
8665092a7ffffff,11.0,13
8665092afffffff,987.0,13
8665092c7ffffff,38.0,13
8665092cfffffff,34.0,13
8665092d7ffffff,364.0,13
8665092dfffffff,258.0,13
8665092e7ffffff,500.0,13
8665092efffffff,1241.0,13
8665092f7ffffff,3914.0,13
866509307ffffff,1442.0,13
86650930fffffff,13.0,13
866509317ffffff,1221.0,13
86650931fffffff,8357.0,13
866509327ffffff,3.0,13
86650932fffffff,18.0,13
866509337ffffff,347.0,13
866509347ffffff,6.0,13
86650934fffffff,2.0,13
866509357ffffff,4.0,13
86650935fffffff,4.0,13
866509367ffffff,5.0,13
86650936fffffff,9.0,13
866509377ffffff,5.0,13
866509387ffffff,688.0,13
86650938fffffff,106.0,13
866509397ffffff,5.0,13
86650939fffffff,7.0,13
8665093a7ffffff,334.0,13
8665093afffffff,5168.0,13
8665093b7ffffff,122.0,13
866509407ffffff,3800.0,6
86650940fffffff,418.0,9
866509417ffffff,7986.0,6
86650941fffffff,4514.0,9
866509427ffffff,3053.0,6
86650942fffffff,3556.0,6
866509437ffffff,6444.0,6
866509447ffffff,1499.0,6
86650944fffffff,440.0,9
866509457ffffff,167.0,9
86650945fffffff,1141.0,9
866509467ffffff,181.0,6
86650946fffffff,54.0,6
866509477ffffff,4126.0,6
866509487ffffff,4383.0,15
86650948fffffff,62188.0,15
866509497ffffff,586.0,15
86650949fffffff,10.0,9
8665094a7ffffff,19297.0,15
8665094afffffff,88728.0,15
8665094b7ffffff,8.0,6
8665094c7ffffff,544.0,9
8665094cfffffff,105.0,9
8665094d7ffffff,3985.0,9
8665094dfffffff,673.0,9
8665094e7ffffff,819.0,9
8665094efffffff,12.0,9
8665094f7ffffff,19994.0,15
866509507ffffff,8477.0,499
86650950fffffff,2766.0,6
866509517ffffff,10937.0,6
86650951fffffff,28288.0,6
866509527ffffff,4563.0,499
86650952fffffff,5904.0,6
866509537ffffff,5147.0,499
866509547ffffff,6944.0,6
86650954fffffff,396.0,6
866509557ffffff,4520.0,6
86650955fffffff,3830.0,6
866509567ffffff,4962.0,6
86650956fffffff,29.0,6
866509577ffffff,5857.0,6
866509587ffffff,8304.0,6
86650958fffffff,20595.0,6
866509597ffffff,7564.0,6
86650959fffffff,9367.0,6
8665095a7ffffff,8196.0,6
8665095afffffff,21292.0,6
8665095b7ffffff,13100.0,6
866509607ffffff,1163.0,9
86650960fffffff,2.0,9
86650961fffffff,726.0,9
866509627ffffff,8.0,9
86650962fffffff,2.0,9
866509637ffffff,11.0,9
866509647ffffff,1.0,9
866509657ffffff,5.0,9
86650965fffffff,1.0,7
86650966fffffff,5.0,7
866509677ffffff,1.0,9
866509687ffffff,442.0,9
866509697ffffff,523.0,9
86650969fffffff,2.0,9
8665096a7ffffff,35.0,9
8665096afffffff,595.0,9
8665096b7ffffff,48.0,9
8665096c7ffffff,1.0,9
8665096d7ffffff,1.0,9
8665096dfffffff,1.0,9
8665096e7ffffff,2.0,9
866509707ffffff,1.0,9
86650970fffffff,15.0,9
866509717ffffff,704.0,9
86650971fffffff,69.0,9
866509727ffffff,21.0,13
86650972fffffff,2.0,13
866509737ffffff,1.0,9
86650974fffffff,4.0,9
866509757ffffff,3.0,9
866509767ffffff,5.0,13
866509777ffffff,20.0,9
866509787ffffff,200.0,9
866509797ffffff,95.0,9
86650979fffffff,3.0,9
8665097a7ffffff,37.0,9
8665097afffffff,85.0,9
8665097b7ffffff,112.0,9
866509827ffffff,5.0,499
86650982fffffff,135.0,8
866509837ffffff,1.0,499
866509847ffffff,14327.0,8
86650984fffffff,193.0,8
866509857ffffff,3714.0,8
86650985fffffff,5259.0,8
866509867ffffff,7620.0,8
86650986fffffff,7.0,8
866509877ffffff,25783.0,8
86650989fffffff,1.0,499
8665098afffffff,1.0,499
8665098cfffffff,2.0,8
8665098efffffff,1.0,8
8665098f7ffffff,1.0,499
866509907ffffff,3.0,499
86650990fffffff,2.0,499
866509917ffffff,1.0,499
86650991fffffff,1.0,499
866509927ffffff,1.0,499
86650992fffffff,1.0,499
866509937ffffff,6.0,499
866509947ffffff,26010.0,8
86650994fffffff,10787.0,8
866509957ffffff,254.0,8
86650995fffffff,57546.0,8
866509967ffffff,15047.0,8
86650996fffffff,6554.0,8
866509977ffffff,3973.0,499
866509987ffffff,147.0,499
866509997ffffff,2992.0,499
8665099a7ffffff,1605.0,499
8665099b7ffffff,3614.0,499
866509a0fffffff,3.0,8
866509a17ffffff,1.0,8
866509a1fffffff,1.0,8
866509a2fffffff,2.0,4
866509a37ffffff,1.0,8
866509a47ffffff,2.0,4
866509a4fffffff,6.0,4
866509a57ffffff,1.0,8
866509a5fffffff,2.0,4
866509a67ffffff,5.0,4
866509a6fffffff,3.0,4
866509a77ffffff,3.0,4
866509a87ffffff,7.0,13
866509a97ffffff,2814.0,13
866509a9fffffff,501.0,13
866509aafffffff,5.0,13
866509ab7ffffff,1187.0,13
866509ac7ffffff,4.0,13
866509acfffffff,5.0,13
866509ad7ffffff,3.0,13
866509adfffffff,2.0,13
866509ae7ffffff,3.0,8
866509aefffffff,3.0,13
866509af7ffffff,4.0,13
866509b1fffffff,1.0,8
866509b27ffffff,1.0,8
866509b2fffffff,2.0,8
